whale_ID,AID,year,year_f,month,date,DOY,sex,DU,BAI_mean,BAI_SD,BAI_low,BAI_upp,mean_temp_30d,mean_temp_15d,prev_30d_hypoxic_days,prev_15d_hypoxic_days,prev15d_cuti_sum,prev15d_cuti_mean,ndays_Rx_15d,prev30d_cuti_sum,prev30d_cuti_mean,ndays_Rx_30d,winter,winter_precip_cm,kelp_area,MEI,MEI_season,PDO,PDO_season,CUTI_RX_ratio
CRC186,CRC186_221004,2022,2022,10,2022-10-04,277,Male,MM,26.2450225709895,0.28867850174212,25.6777816600083,26.8195533869089,10.0235305555556,10.9850430555556,2,0,2.976,0.425142857142857,8,10.274,0.570777777777778,12,2021-2022,116.03,3632,-1.73,-1.78857142857143,-2.29,-2.16,1.5612894736842104
CRC192,CRC192_171004,2017,2017,10,2017-10-04,277,Female,MF,24.9545600783759,0.323901864836785,24.3070998737586,25.5978973923226,10.3403970833333,11.3747652777778,19,5,2.626,0.2626,5,5.529,0.325235294117647,13,2016-2017,135.28,7345,-0.74,-0.418571428571429,-0.2,0.01,2.392235294117647
CRC196,CRC196_190722,2019,2019,7,2019-07-22,203,Female,MF,30.5488320393162,0.547563907044054,29.4867368888735,31.6368027033957,9.19760930555556,9.29503861111111,4,4,5.16,0.469090909090909,4,10.423,0.496333333333333,9,2018-2019,40.11,36253,0.35,0.281428571428571,-0.07,0.153333333333333,1.9955555555555533
CRC196,CRC196_190820,2019,2019,8,2019-08-20,232,Female,MF,28.7797801832496,0.486514402078176,27.8063190986871,29.7295342754317,8.57611458333333,8.91131722222222,12,2,7.274,0.559538461538462,2,17.091,0.657346153846154,4,2018-2019,40.11,36253,0.3,0.281428571428571,0.52,0.153333333333333,1.9955555555555533
CRC196,CRC196_200806,2020,2020,8,2020-08-06,219,Female,MF,27.9577834593007,0.19619230472294,27.5719196329467,28.3295047895578,7.67116085714286,7.69924361111111,16,6,5.162,0.469272727272727,4,13.362,0.58095652173913,7,2019-2020,50.5,21692,-0.94,-0.754285714285714,-0.92,-0.981666666666667,1.0426904761904763
CRC196,CRC196_201008,2020,2020,10,2020-10-08,282,Female,MF,27.7608888335424,0.194218377397534,27.3837519491109,28.1482584113799,10.9069325,12.3552472222222,0,0,4.477,0.497444444444444,6,6.261,0.3913125,14,2019-2020,50.5,21692,-1.15,-0.754285714285714,-1.04,-0.981666666666667,1.0426904761904763
CRC196,CRC196_210716,2021,2021,7,2021-07-16,197,Female,MF,28.4834796660191,0.179334601172256,28.1348429675213,28.841708583134398,8.6680775,8.2567075,20,11,15.077,1.00513333333333,0,22.835,0.9134,5,2020-2021,96.47,12992,-1.05,-1.23428571428571,-1.82,-1.76833333333333,2.106142857142857
CRC196,CRC196_210825,2021,2021,8,2021-08-25,237,Female,MF,26.8202694832838,0.19200268486271,26.4418547846773,27.1960536646192,7.86528458333333,8.218275,9,1,8.717,0.792454545454545,4,16.047,0.668625,6,2020-2021,96.47,12992,-1.44,-1.23428571428571,-2,-1.76833333333333,2.106142857142857
CRC196,CRC196_220721,2022,2022,7,2022-07-21,202,Female,MF,24.4992433930265,0.40538378574688,23.6951482666783,25.285736005401,8.33965986111111,8.19587194444444,13,8,8.164,0.742181818181818,4,17.687,0.736958333333333,6,2021-2022,116.03,3632,-1.9,-1.78857142857143,-1.32,-2.16,1.5612894736842104
CRC196,CRC196_220923,2022,2022,9,2022-09-23,266,Female,MF,29.4330080054961,0.413905167534618,28.6129442057552,30.2423897689401,9.23538472222222,9.49059138888889,2,1,4.577,0.572125,7,11.857,0.538954545454545,8,2021-2022,116.03,3632,-1.75,-1.78857142857143,-2.38,-2.16,1.5612894736842104
CRC196,CRC196_230906,2023,2023,9,2023-09-06,249,Female,MF,27.4687603569491,0.491341247703657,26.5006546128499,28.421765711643,9.18658986111111,9.62083472222222,7,2,2.756,0.306222222222222,6,13.647,0.568625,6,2022-2023,99.26,143972,0.51,0.31,-2.47,-2.66666666666667,2.5459714285714283
CRC204,CRC204_160822,2016,2016,8,2016-08-22,235,Female,LF,27.6660939435089,0.555871709027075,26.5652832891079,28.7278432899842,7.75891527777778,7.94426833333333,30,15,9.394,0.671,1,26.845,0.925689655172414,1,2015-2016,79.38,4824,-0.53,0.185714285714286,0.57,0.558333333333333,2.84890625
CRC204,CRC204_171004,2017,2017,10,2017-10-04,277,Female,MF,28.7268340895263,0.325688670122865,28.0997392680545,29.3617032170832,10.3403970833333,11.3747652777778,19,5,2.626,0.2626,5,5.529,0.325235294117647,13,2016-2017,135.28,7345,-0.74,-0.418571428571429,-0.2,0.01,2.392235294117647
CRC204,CRC204_190912,2019,2019,9,2019-09-12,255,Female,PF,30.9039084408827,0.613641236028848,29.7186361824013,32.1033613290975,9.67876361111111,10.6256297222222,5,0,2.207,0.367833333333333,9,13.323,0.70121052631579,11,2018-2019,40.11,36253,0.32,0.281428571428571,0,0.153333333333333,1.9955555555555533
CRC204,CRC204_200619,2020,2020,6,2020-06-19,171,Female,LF,22.8891387357915,0.203100888239628,22.5034396267647,23.2846632702868,10.23446875,NA,5,0,3.317,0.414625,7,11.127,0.483782608695652,7,2019-2020,50.5,21692,-0.23,-0.754285714285714,-0.53,-0.981666666666667,1.0426904761904763
